Type ,Name ,Preparation Time ,Cook Time ,Total Time ,Servings,Ingredients ,Directions 
American,Tater Tot Casseroles,25 mins ,45 mins,1 hr 10 mins,6,"3/4 pound bulk hot Italian sausage, 3/4 pound lean ground beef (90% lean), 1 small onion, chopped, 2 cans (10-1/2 ounces each) condensed cream of celery soup, undiluted, 2 cups frozen cut green beans, thawed, 1 can (15-1/4 ounces) whole kernel corn, drained, 2 cups shredded, Colby-Monterey Jack cheese, divided, 1/2 cup 2% milk, 1 teaspoon garlic powder, 1/4 teaspoon seasoned salt, 1/4 to 1/2 teaspoon cayenne pepper, 1 package (32 ounces) frozen Tater Tots","In a Dutch oven, cook the sausage, beef and onion over medium heat until meat is no longer pink; drain. Add the soup, beans, corn, 1 cup cheese, milk, garlic powder, seasoned salt and cayenne. Transfer to 2 greased 11x7-in. baking dishes. Top with Tater Tots; sprinkle with remaining 1 cup cheese. Cover and freeze 1 casserole for up to 3 months. Cover and bake the remaining casserole at 350° for 40 minutes. Uncover and bake until bubbly, 5-10 minutes longer.To use frozen casserole: Thaw in the refrigerator overnight. Remove from the refrigerator 30 minutes before baking. Cover and bake at 350° for 50 minutes. Uncover and bake until bubbly, 5-10 minutes longer."
American,Macaroni & Cheese,20 mins,35 mins,55 mins,6,"2 cups uncooked elbow macaroni, 1/2 cup butter, cubed, 1/2 cup all-purpose flour, 1-1/2 to 2 cups 2% milk, 1 cup sour cream, 8 ounces cubed Velveeta, 1/4 cup grated Parmesan cheese, 1/2 teaspoon salt, 1/2 teaspoon ground mustard, 1/2 teaspoon pepper, 2 cups shredded cheddar cheese","Cook macaroni according to package directions. Meanwhile, preheat oven to 350°. In a large saucepan, melt butter. Stir in flour until smooth. Gradually add 1-1/2 cups milk. Bring to a boil; cook and stir 2 minutes or until thickened. Reduce heat; stir in sour cream, Velveeta, Parmesan cheese, salt, mustard and pepper until smooth and cheese is melted. Add more milk to reach desired consistency. Drain macaroni; toss with cheddar cheese. Transfer to a greased 3-qt. baking dish. Stir in cream sauce. Bake, uncovered, 35-40 minutes or until golden brown and bubbly."
American,Sticky Honey Chicken Wings,25 mins,30 mins,55 mins ,3,"1/2 cup orange blossom honey, 1/3 cup white vinegar, 2 tablespoons paprika, 2 teaspoons salt, 1 teaspoon pepper, 4 pounds of chicken wings","In a small bowl, combine honey, vinegar, paprika, salt and pepper. Cut through the 2 wing joints with a sharp knife, discarding wing tips. Add remaining wing pieces and honey mixture to a large bowl; stir to coat. Cover and refrigerate 4 hours or overnight. Preheat oven to 375°. Remove wings; reserve honey mixture. Place wings on greased 15x10x1-in. baking pans. Bake until juices run clear, about 30 minutes, turning halfway through. Meanwhile, place reserved honey mixture in a small saucepan. Bring to a boil; cook 1 minute. Remove wings from oven; preheat broiler. Place wings on a greased rack in a broiler pan; brush with honey mixture. Broil 4-5 in. from heat until crispy, 3-5 minutes. Serve with remaining honey mixture."
American, Honey Glazed Turkey,25 mins,3 hr 45 mins,4 hr 10 mins ,20,"1 turkey (14 to 16 pounds), 1/2 cup honey, 1/2 cup Dijon mustard, 1-1/2 teaspoons dried rosemary, crushed, 1 teaspoon onion powder, 1/2 teaspoon salt,1/4 teaspoon garlic powder, 1/4 teaspoon pepper stuffing:1/2 cup butter, cubed, 2 cups chopped onion, 1-1/2 cups chopped celery, 12 cups unseasoned stuffing cubes or dry bread cubes, 1 tablespoon poultry seasoning, 2 teaspoons chicken bouillon granules, 1 teaspoon pepper, 1 teaspoon dried rosemary, crushed, 1 teaspoon lemon-pepper seasoning, 3/4 teaspoon salt, 3-1/4 to 3-3/4 cups boiling water","Preheat oven to 325°. Place turkey on a rack in a shallow roasting pan, breast side up. Tuck wings under turkey; tie drumsticks together. Bake for 2 hours. In a small bowl, mix glaze ingredients; brush over turkey. Bake 1-3/4 to 2-1/4 hours longer or until a thermometer inserted in thickest part of thigh reads 170°-175°. Baste occasionally with pan drippings. (Cover loosely with foil if turkey browns too quickly.)For stuffing, in a Dutch oven, heat butter over medium-high heat. Add onion and celery; cook and stir until tender. Add stuffing cubes and seasonings; toss to combine. Stir in enough boiling water to reach desired moistness; transfer to a greased 13x9-in. baking dish. Bake, covered, for 1 hour. Uncover and bake until lightly browned, 10-15 minutes longer. Remove turkey from oven; cover loosely with foil and let stand 15 minutes before carving. If desired, skim fat and thicken pan drippings for gravy."
American,Texas-Style Beef Brisket,25 mins ,6 hr 30 mins ,6 hr 55 mins ,12,"3 tablespoons Worcestershire sauce, 1 tablespoon chili powder, 2 garlic cloves, minced, 1 teaspoon celery salt, 1 teaspoon pepper, 1 teaspoon liquid smoke, optional, 1 fresh beef brisket (6 pounds), 1/2 cup beef broth, 2 bay leaves, barbecue sauce:  1 medium onion, chopped, 2 tablespoons canola oil, 2 garlic cloves, minced, 1 cup ketchup, 1/2 cup molasses, 1/4 cup cider vinegar, 2 teaspoons chili powder1/2 teaspoon ground mustard. ","In a large bowl or shallow dish, combine the Worcestershire sauce, chili powder, garlic, celery salt, pepper and, if desired, liquid smoke. Cut brisket in half; add to bowl and turn to coat. Cover and refrigerate overnight. Transfer beef to a 5- or 6-qt. slow cooker; add broth and bay leaves. Cover and cook on low for 6-8 hours or until meat is tender. For sauce, in a small saucepan, saute onion in oil until tender. Add garlic; cook 1 minute longer. Stir in the remaining ingredients; heat through. Remove brisket from the slow cooker; discard bay leaves. Place 1 cup cooking juices in a measuring cup; skim fat. Discard remaining juices. Add reserved juices to the barbecue sauce. Return brisket to the slow cooker; top with sauce mixture. Cover and cook on high for 30 minutes to allow flavors to blend. Thinly slice beef across the grain; serve with sauce."
Italian ,Baked Ziti with Sausage ,20 mins,40 mins ,1 hr ,8,"cooking spray, 1 (16 ounce) package dry ziti pasta, 1 pound mild Italian sausage, 1 (15 ounce) container ricotta cheese, 1 large yellow onion, minced, 1 large egg, 2 teaspoons minced garlic, 1 teaspoon dried oregano, ½ teaspoon salt, ½ teaspoon ground black pepper,1 ½ (26 ounce) jars spaghetti sauce, divided, 1 (8 ounce) package shredded Italian cheese blend, 1 teaspoon dried basil (Optional)","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish. Bring a large pot of lightly salted water to a rolling boil over high heat. Stir in ziti and return to a boil. Cook pasta uncovered, stirring occasionally, until cooked through but still firm to the bite, about 8 minutes. Drain well. While pasta is cooking, heat a large skillet over medium heat. Add sausage; cook and stir until brown, about 10 minutes. Drain sausage and set aside. Stir together ricotta, onion, egg, garlic, and oregano in a large bowl until well combined. Stir in pasta, sausage, salt, pepper, and the half jar of spaghetti sauce; mix well. Cover the bottom of the prepared baking dish with 1/3 of the full jar spaghetti sauce. Layer with 1/2 of the pasta mixture, 1/2 of the remaining spaghetti sauce, and 1/2 of the shredded cheese. Repeat layers once more using remaining pasta, sauce, and cheese. Sprinkle basil over top and cover the dish tightly with aluminum foil. Bake in the preheated oven until heated through, about 20 minutes. Uncover; return to the oven and bake until cheese is melted, 5 to 10 more minutes."
Italian ,Pasta Fazool ,10 mins ,25 mins ,35 mins ,2,"1 tablespoon olive oil, 12 ounces sweet bulk Italian sausage, 1 stalk celery, diced, ½ yellow onion, chopped, ¾ cup dry elbow macaroni, ¼ cup tomato paste, 3 cups chicken broth, or more as needed, divided, ¼ teaspoon crushed red pepper flakes, or to taste, ¼ teaspoon dried oregano, Salt and freshly ground black pepper to taste, 3 cups chopped Swiss chard, 1 (15 ounce) can cannellini (white kidney) beans, drained, ¼ cup grated Parmigiano-Reggiano cheese, plus additional for serving, or to taste","Heat oil in a skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, about 5 minutes. Reduce heat to medium. Add diced celery and chopped onion. Cook until onions are translucent, 4 to 5 minutes. Add dry pasta; cook and stir for 2 minutes. Stir in tomato paste until evenly distributed, 2 to 3 minutes. Pour in 3 cups broth; increase heat to high and bring to a boil. Stir in red pepper flakes, oregano, salt, and pepper. Reduce heat to medium and let simmer, stirring often, for about 5 minutes. Add more broth if needed. Place chopped chard in a bowl. Cover with cold water and rinse leaves; any grit will fall to the bottom of the bowl. Transfer chard to a colander to drain briefly; add to soup. Cook and stir until leaves wilt, 2 to 3 minutes. Stir in white beans; continue cooking and stirring until pasta is tender, 4 to 5 minutes. Remove from heat and stir in grated cheese. Serve topped with additional grated cheese."
Italian ,Beefy Baked Ravioli ,20 mins ,30 mins ,50 mins ,6,"1 pound ground beef, ½ (25 ounce) package frozen cheese ravioli, 1 (14 ounce) jar spaghetti sauce, 1 (14.5 ounce) can diced tomatoes, drained, 1 cup shredded mozzarella cheese, 1 cup shredded Monterey Jack cheese, 1 tablespoon grated Parmesan cheese","Preheat the oven to 450 degrees F (230 degrees C). Crumble the ground beef into a large skillet over medium-high heat. Cook and stir until no longer pink. Drain grease, then stir in the spaghetti sauce and tomatoes. Spread 1/3 of the sauce in the bottom of an 11x7 inch baking dish. Arrange 1/2 of the ravioli over the sauce. Sprinkle 1/2 of the mozzarella cheese and 1/2 of the Monterey Jack cheese over the ravioli. Repeat layers, ending with the last of the sauce on top. Cover with aluminum foil. Bake for 30 minutes in the preheated oven. Sprinkle Parmesan cheese over the top before serving."
Italian ,Tuscan Fish stew ,25 mins ,25 mins ,50 mins ,2,"3 cups cherry tomatoes, halved, 1 cup clam juice, 4 tablespoons olive oil, divided, ¼ cup sliced green onions, 4 cloves garlic, sliced, 1 anchovy fillet, 2 pinches red pepper flakes, 12 ounces halibut, cut into 2-inch pieces, 1 pound shrimp, peeled and deveined, salt to taste, 1 tablespoon chopped fresh parsley, ½ tablespoon chopped fresh basil, ½ tablespoon chopped fresh oregano, 1 pinch minced fresh rosemary","Puree cherry tomatoes and clam juice in a blender until smooth. Press mixture through a fine-mesh strainer into a bowl. Combine 3 tablespoons olive oil, green onions, garlic, anchovy, and 1 pinch red pepper flakes in a cold plan. Place over medium heat. Cook and stir until garlic and onions just start to soften, about 3 minutes. Stir in the tomato mixture. Bring to a simmer over medium-high heat. Reduce heat to medium and simmer stew until color deepens, about 10 minutes. Add halibut and shrimp to the stew. Season with salt. Increase heat to high. Cover pan and cook until fish flakes easily with a fork, about 5 minutes. Stir in parsley, basil, oregano, and rosemary. Pour stew into a warm bowl. Drizzle in remaining olive oil and sprinkle 1 pinch red pepper flakes on top. Serve with crusty bread."
Italian ,Authentic Tortellini Soup,10 mins ,40 mins ,50 mins ,10,"2 (49.5 fluid ounce) cans chicken broth, divided, 1 (20 ounce) package cheese tortellini, 1 teaspoon olive oil, 1 (12 ounce) package mild Italian sausage, 1 small onion, chopped, 2 tablespoons minced garlic, 2 tablespoons Italian seasoning, 1 (28 ounce) can tomato puree, 1 bunch fresh spinach, chopped","Pour 1 can broth into a small saucepan and add tortellini; bring to a boil. Cook tortellini until tender yet firm to the bite, about 5 minutes. Heat oil in a large stockpot over medium heat; cook and stir sausage, onion, garlic, and Italian seasoning until sausage is browned and crumbly, 5 to 10 minutes. Add tortellini-broth mixture, remaining can of broth, tomato puree, and spinach to sausage mixture; cover stockpot and simmer until flavors blend, about 30 minutes."
